Commit_Hash,Added,Deleted,Total
24b6ef4559eb38c41e60816fb1398acb46fd6e27,809,420,1229
c590d4ed1620abb329aba0bd5e3fc07668788134,1,1,2
4113690bd8b756be9e35c03d552936f404313764,106,137,243
96078968bd7f4d2c6dae9d5838ca65412520948f,44,50,94
63a277efb5bc3cfadfe86bee384b0e997ce3e9dc,319,388,707
553ce76c27563a2dfacc34fe79f0b2ba365787fa,2,2,4
dce1f7850f8a735612c0c864922310e2ee8f7446,4,0,4
376e37a990a413a70a81c68c3cfe3bb77faf304d,55,38,93
0553771fbe02b1d6d3ae5ddab697c2f8629aedec,1,1,2
e23bd900b7c5f3262c3b6c5fb20d7569ca5193db,13,5,18
123.091,94.7273,217.818
