Patch_URL,Commit_Count,Files_Changed,Insertions,Deletions,Total_Changes
https://patch-diff.githubusercontent.com/raw/libsndfile/libsndfile/pull/1029.patch,1,1,4,1,5
https://patch-diff.githubusercontent.com/raw/libsndfile/libsndfile/pull/1025.patch,1,1,0,1,1
https://patch-diff.githubusercontent.com/raw/libsndfile/libsndfile/pull/1021.patch,1,1,0,0,0
https://patch-diff.githubusercontent.com/raw/libsndfile/libsndfile/pull/1016.patch,1,2,0,9,9
https://patch-diff.githubusercontent.com/raw/libsndfile/libsndfile/pull/1002.patch,1,5,28,19,47
https://patch-diff.githubusercontent.com/raw/libsndfile/libsndfile/pull/994.patch,1,1,0,1,1
https://patch-diff.githubusercontent.com/raw/libsndfile/libsndfile/pull/990.patch,1,1,2,2,4
https://patch-diff.githubusercontent.com/raw/libsndfile/libsndfile/pull/988.patch,1,1,0,1,1
https://patch-diff.githubusercontent.com/raw/libsndfile/libsndfile/pull/979.patch,17,19,98,80,178
https://patch-diff.githubusercontent.com/raw/libsndfile/libsndfile/pull/977.patch,1,1,0,1,1
2.36364,3,12,10.4545,22.4545
