libpng_4_1,png_combine_row
libsndfile_15_1,s2alaw_array
libsndfile_2_1,sd2_parse_rsrc_fork
libsndfile_7_1,sf_flac_meta_callback
libtiff_10_1,LZWDecodeCompat
libtiff_6_1,PixarLogClose
libtiff_7_1,allocChoppedUpStripArrays,ChopUpSingleUncompressedStrip
libtiff_9_1,TIFFWriteDirectoryTagTransferfunction
libxml2_10_2,xmlStringLenDecodeEntities
libxml2_1_2,xmlSnprintfElementContent
libxml2_12_2,xmlParseNCNameComplex
libxml2_14_1,htmlParseName
libxml2_15_1,htmlParseNameComplex
libxml2_16_1,xmlFAParseCharRange
libxml2_16_2,xmlFAParseCharRange
libxml2_2_1,xmlValidateOneNamespace
libxml2_8_1,xmlParseComment
openssl_10_5,bn_expand,int_bn_mod_inverse
openssl_11_4,PKCS7_dataDecode
openssl_11_6,PKCS7_dataDecode
openssl_12_6,X509_to_X509_REQ
openssl_1_3,asn1_ex_c2i,asn1_ex_i2c,ASN1_TYPE_cmp,i2c_ibuf
openssl_13_2,rsa_item_verify
openssl_1_5,asn1_ex_c2i,asn1_ex_i2c,ASN1_TYPE_cmp,i2c_ibuf
openssl_16_6,BN_GF2m_mod_inv_vartime
openssl_17_2,get_crl_sk
openssl_17_4,get_crl_sk
openssl_18_5,dtls1_preprocess_fragment
openssl_19_1,ssl3_read_bytes
openssl_20_3,tls_decrypt_ticket
openssl_20_4,tls_decrypt_ticket
openssl_4_4,X509_NAME_oneline
openssl_5_1,tls_parse_ctos_status_request
openssl_6_4,EVP_EncodeUpdate
openssl_6_5,EVP_EncodeUpdate
openssl_6_6,EVP_EncodeUpdate
openssl_7_2,MDC2_Update
openssl_7_4,MDC2_Update
openssl_8_1,tls_construct_cke_dhe,tls_construct_cke_ecdhe
openssl_9_1,length_from_afi
php_11_2,exif_offset_info_init,exif_offset_info_try_get
php_15_2,phar_parse_pharfile
php_16_3,phar_verify_signature,phar_parse_zipfile 
php_4_1,exif_process_IFD_in_MAKERNOTE
php_6_2,exif_scan_thumbnail
poppler_17_1,FoFiTrueType.*cvtSfnts
poppler_3_1,HtmlOutputDev.*drawPngImage,ImageOutputDev.*writeImageFile
poppler_9_1,Parser.*makeStream
sqlite3_18_1,sqlite3ExprAddCollateToken
sqlite3_20_1,exprListAppendList
